ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
215277895,ots|sls|ots,ayots_am32_inner_apsara_hybrid_cs,ots_server|cs|cs,专有云=bgm=OTS=ayinner_apsara_hybrid-am32,rc8255139.cloud.nu17,10.1.8.97,AliOS5U7-x86-64,bigdata,S10-3S.12,am32,A1-1,A04,7,A1-1-A04,ASW-2,ots|sls|ots,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ots_cs,ots_webserver""}]",S10-3S.12|SNC,inner|common|inner_apsara_hybrid,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277900,ads,ayads_am32_apsara_service_cs,cs,专有云=bgm=ADS=ayapsara_service-am32,rc8f73102.cloud.nu17,10.1.4.5,AliOS5U7-x86-64,ads_cloud_server,S10-3S.12,am32,A1-1,A09,4,A1-1-A09,ASW-3,ads,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ads_apsara_chunkserver""}]",S10-3S.12|SNC,apsara_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277901,sls|sls|ots,ayots_am32_inner_apsara_hybrid_cs,sls_server|cs|cs,专有云=bgm=OTS=ayinner_apsara_hybrid-am32,rc8255137.cloud.nu17,10.1.8.95,AliOS5U7-x86-64,bigdata,S10-3S.12,am32,A1-1,A04,9,A1-1-A04,ASW-2,sls|sls|ots,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""sls_webserver,sls_cs""}]",S10-3S.12|SNC,common|common|inner_apsara_hybrid,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277903,galaxy,aygalaxy_am32_public_apsara_cs,cs,专有云=bgm=GALAXY=aypublic_apsara-am32,rc8255138.cloud.nu17,10.1.8.96,AliOS5U7-x86-64,galaxy,S10-3S.12,am32,A1-1,A04,8,A1-1-A04,ASW-2,galaxy,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""galaxy_basic_host,galaxy_apsara_server,galaxy_engine""}]",S10-3S.12|SNC,public_apsara,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277906,ads,ayads_am32_apsara_service_cs,cs,专有云=bgm=ADS=ayapsara_service-am32,rc8f73105.cloud.nu17,10.1.4.14,AliOS5U7-x86-64,ads_cloud_server,S10-3S.12,am32,A1-1,A09,1,A1-1-A09,ASW-3,ads,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ads_apsara_chunkserver""}]",S10-3S.12|SNC,apsara_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277909,galaxy,aygalaxy_am32_public_apsara_cs,cs,专有云=bgm=GALAXY=aypublic_apsara-am32,rc8255133.cloud.nu17,10.1.8.76,AliOS5U7-x86-64,galaxy,S10-3S.12,am32,A1-1,A04,15,A1-1-A04,ASW-2,galaxy,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""galaxy_basic_host,galaxy_apsara_server,galaxy_engine""}]",S10-3S.12|SNC,public_apsara,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277910,ads,ayads_am32_apsara_service_cs,cs,专有云=bgm=ADS=ayapsara_service-am32,rc8f73143.cloud.nu17,10.1.8.99,AliOS5U7-x86-64,ads_cloud_server,S10-3S.12,am32,A1-1,A07,11,A1-1-A07,ASW-2,ads,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ads_apsara_chunkserver""}]",S10-3S.12|SNC,apsara_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277911,ads,ayads_am32_apsara_service_cs,cs,专有云=bgm=ADS=ayapsara_service-am32,rc85c6126.cloud.nu17,10.1.7.29,AliOS5U7-x86-64,ads_cloud_server,S10-3S.12,am32,A1-1,A02,10,A1-1-A02,ASW-1,ads,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ads_apsara_chunkserver""}]",S10-3S.12|SNC,apsara_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277913,ots|sls|ots,ayots_am32_inner_apsara_hybrid_cs,ots_server|cs|cs,专有云=bgm=OTS=ayinner_apsara_hybrid-am32,rc8f73137.cloud.nu17,10.1.8.86,AliOS5U7-x86-64,bigdata,S10-3S.12,am32,A1-1,A07,6,A1-1-A07,ASW-2,ots|sls|ots,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ots_cs,ots_webserver""}]",S10-3S.12|SNC,inner|common|inner_apsara_hybrid,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
215277914,ads,ayads_am32_apsara_service_cs,cs,专有云=bgm=ADS=ayapsara_service-am32,rc8f73104.cloud.nu17,10.1.4.11,AliOS5U7-x86-64,ads_cloud_server,S10-3S.12,am32,A1-1,A09,2,A1-1-A09,ASW-3,ads,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ads_apsara_chunkserver""}]",S10-3S.12|SNC,apsara_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
